# Type: Lines
# Measurement: 817
# Bird: Canary
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 290617
#
Name,Length [um]
Line 1,1388.09
Line 2,725.12
Line 3,228.46
Line 4,168.34
Line 5,191.27
Line 6,115.50
Line 7,1107.29
Line 8,658.49
Line 9,110.09
Line 10,168.03
Line 11,110.50
Line 12,214.70
Line 13,1018.08
Line 14,731.63
Line 15,134.74
Line 16,91.80
Line 17,96.04
Line 18,176.61
Line 19,1159.71
Line 20,475.47
Line 21,197.08
Line 22,101.52
Line 23,113.33
Line 24,143.85
Line 25,933.72
Line 26,683.11
Line 27,182.37
Line 28,105.83
Line 29,123.38
Line 30,86.84
Line 31,1324.24
Line 32,618.24
Line 33,150.58
Line 34,159.99
Line 35,102.12
Line 36,115.28
Line 37,694.94
Line 38,645.56
Line 39,108.77
Line 40,115.50
Line 41,111.59
Line 42,91.93
Line 43,751.61
Line 44,536.73
Line 45,84.86
Line 46,116.13
Line 47,154.38
Line 48,99.51
Line 49,1103.88
Line 50,653.40
Line 51,111.36
Line 52,123.19
Line 53,109.26
Line 54,107.49
Line 55,906.08
Line 56,851.50
Line 57,120.15
Line 58,102.92
Line 59,88.42
Line 60,93.52
Line 61,1235.42
Line 62,742.54
Line 63,150.43
Line 64,98.79
Line 65,164.88
Line 66,135.07

