# Type: Lines
# Measurement: 11
# Bird: C. rufica
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 030717
#
Name,Length [um]
Line 1,424.22
Line 2,312.65
Line 3,160.62
Line 4,139.59
Line 5,138.90
Line 6,138.13
Line 7,514.89
Line 8,331.07
Line 9,172.49
Line 10,144.64
Line 11,140.26
Line 12,191.71
Line 13,400.84
Line 14,395.40
Line 15,143.80
Line 16,157.68
Line 17,158.23
Line 18,119.46
Line 19,442.62
Line 20,303.11
Line 21,149.80
Line 22,138.14
Line 23,177.15
Line 24,175.48
Line 25,533.16
Line 26,351.90
Line 27,135.27
Line 28,159.16
Line 29,163.75
Line 30,141.62
Line 31,516.38
Line 32,403.32
Line 33,158.22
Line 34,156.22
Line 35,170.35
Line 36,137.21
Line 37,460.02
Line 38,342.65
Line 39,130.17
Line 40,167.70
Line 41,150.73
Line 42,189.60
Line 43,488.96
Line 44,354.82
Line 45,139.57
Line 46,172.70
Line 47,157.20
Line 48,151.46
Line 49,413.79
Line 50,355.57
Line 51,152.79
Line 52,141.36
Line 53,147.40
Line 54,122.10
Line 55,457.80
Line 56,306.08
Line 57,140.06
Line 58,147.37
Line 59,171.26
Line 60,132.54
Line 61,494.49
Line 62,444.89
Line 63,158.65
Line 64,146.65
Line 65,160.27
Line 66,135.05
Line 67,433.99
Line 68,295.73
Line 69,130.62
Line 70,135.70
Line 71,216.10
Line 72,166.85
Line 73,398.69
Line 74,330.50
Line 75,151.18
Line 76,171.64
Line 77,165.55
Line 78,166.75
Line 79,451.75
Line 80,339.18
Line 81,152.72
Line 82,163.67
Line 83,181.94
Line 84,150.61
