# Type: Polygons
# Measurement: 11
# Bird: C. rufica
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 030717
#
Name,Area [um],Perimeter [um]
Polygon 1,93635.45,1124.93
Polygon 2,751.45,125.04
Polygon 3,129984.17,1398.52
Polygon 4,5341.41,325.13
Polygon 5,104830.18,1209.92
Polygon 6,5920.23,308.68
Polygon 7,112814.71,1245.53
Polygon 8,2854.28,284.51
Polygon 9,158338.80,1550.66
Polygon 10,5888.22,402.69
Polygon 11,148678.98,1453.22
Polygon 12,9503.58,404.01
Polygon 13,121841.54,1295.46
Polygon 14,3609.37,229.60
Polygon 15,119050.02,1285.18
Polygon 16,2647.00,266.96
Polygon 17,109922.80,1224.99
Polygon 18,4257.96,278.18
Polygon 19,107970.62,1211.66
Polygon 20,2472.97,273.63
Polygon 21,145655.46,1470.75
Polygon 22,8993.72,361.07
Polygon 23,111717.72,1281.76
Polygon 24,2991.56,303.23
Polygon 25,105764.76,1185.43
Polygon 26,1552.56,174.11
Polygon 27,118310.54,1268.60
Polygon 28,3098.71,258.26
