# Type: Polygons
# Measurement: 6
# Bird: M. bonari
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 030717
#
Name,Area [um],Perimeter [um]
Polygon 1,84867.72,1088.84
Polygon 2,2193.24,206.63
Polygon 3,97239.09,1130.21
Polygon 4,3681.13,438.06
Polygon 5,102013.06,1187.14
Polygon 6,3778.14,339.24
Polygon 7,118301.43,1267.39
Polygon 8,5186.90,380.07
Polygon 9,100753.61,1187.89
Polygon 10,5703.87,433.69
Polygon 11,119691.92,1369.57
Polygon 12,5561.94,498.04
Polygon 13,112028.13,1271.69
Polygon 14,3146.75,526.95
Polygon 15,69704.68,971.30
Polygon 16,2728.24,237.96
Polygon 17,79820.58,1059.32
Polygon 18,1291.94,133.05
