# Type: Lines
# Measurement: 16756
# Bird: M. bonari
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 030717
#
Name,Length [um]
Line 1,298.92
Line 2,289.15
Line 3,101.40
Line 4,117.87
Line 5,99.55
Line 6,112.41
Line 7,259.53
Line 8,259.90
Line 9,86.98
Line 10,91.11
Line 11,111.22
Line 12,101.07
Line 13,408.85
Line 14,247.02
Line 15,131.46
Line 16,83.37
Line 17,105.50
Line 18,111.92
Line 19,326.12
Line 20,306.75
Line 21,124.55
Line 22,100.64
Line 23,112.05
Line 24,109.31
Line 25,397.68
Line 26,279.77
Line 27,120.59
Line 28,137.29
Line 29,103.59
Line 30,126.82
Line 31,384.89
Line 32,257.21
Line 33,106.05
Line 34,104.25
Line 35,124.92
Line 36,144.09
Line 37,362.48
Line 38,215.69
Line 39,102.64
Line 40,90.84
Line 41,111.74
Line 42,154.28
Line 43,323.25
Line 44,189.95
Line 45,99.43
Line 46,109.16
Line 47,127.38
Line 48,97.98
Line 49,356.97
Line 50,279.54
Line 51,131.03
Line 52,129.10
Line 53,128.86
Line 54,114.28
Line 55,310.38
Line 56,254.97
Line 57,94.04
Line 58,110.40
Line 59,112.38
Line 60,114.15
Line 61,332.41
Line 62,243.40
Line 63,115.27
Line 64,99.79
Line 65,109.60
Line 66,118.87
Line 67,332.86
Line 68,228.59
Line 69,113.29
Line 70,91.09
Line 71,86.08
Line 72,110.47
Line 73,284.01
Line 74,275.79
Line 75,73.38
Line 76,102.41
Line 77,118.82
Line 78,100.37
