# Type: Lines
# Measurement: 16756
# Bird: M. bonari
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 030717
#
Name,Area [um],Perimeter [um]
Polygon 1,65796.83,934.15
Polygon 2,3107.18,204.49
Polygon 3,56502.70,863.28
Polygon 4,4393.04,243.63
Polygon 5,82216.42,1074.47
Polygon 7,80402.93,1039.61
Polygon 8,8087.97,328.10
Polygon 6,7493.80,363.56
Polygon 9,77413.20,1063.60
Polygon 10,2642.66,292.18
Polygon 11,83806.13,1111.66
Polygon 12,4176.49,336.32
Polygon 13,66385.33,965.67
Polygon 14,4869.45,303.75
Polygon 15,54690.65,870.02
Polygon 16,2940.77,201.91
Polygon 17,75973.54,1003.98
Polygon 18,1892.88,165.39
Polygon 19,58261.46,880.91
Polygon 20,1862.68,155.60
Polygon 21,56314.07,890.17
Polygon 22,1829.86,150.56
Polygon 23,53817.29,869.62
Polygon 24,1957.88,192.22
Polygon 25,59010.39,865.55
Polygon 26,3333.15,210.20
