# Type: Polygons
# Measurement: 717
# Bird: ZF
# Staining: PAS
# Section Thickness: 5um
# Number of Section on Slide: 1
# Magnification: 60x
# Date: 280617
#
Name,Area [um],Perimeter [um]
Polygon 1,81040.19,1106.42
Polygon 2,92358.17,1133.35
Polygon 3,62698.65,943.18
Polygon 4,200878.37,1802.10
Polygon 5,98790.59,1162.46
Polygon 6,105769.99,1248.89
Polygon 7,87315.10,1106.34
Polygon 8,89336.05,1121.96
Polygon 9,183314.51,1750.65
Polygon 10,97966.81,1284.33
Polygon 11,105263.31,1252.17
Polygon 12,109885.83,1304.42
Polygon 13,2322.16,287.06
Polygon 14,4361.08,364.63
Polygon 15,3295.20,233.61
Polygon 16,12753.16,633.27
Polygon 17,7848.09,331.16
Polygon 18,6812.64,362.27
Polygon 19,4690.28,396.92
Polygon 20,4816.24,322.96
Polygon 21,9955.00,822.72
Polygon 22,4254.87,420.95
Polygon 23,5872.54,425.89
Polygon 24,5866.10,355.66
