"Length [um]","Measured","Group","BirdID","Species","File"
758.02,"Diameter",1,"ID1","Canary","Canary_ID1_805_Lines.csv"
669.94,"Diameter",1,"ID1","Canary","Canary_ID1_805_Lines.csv"
781.48,"Diameter",2,"ID1","Canary","Canary_ID1_805_Lines.csv"
627.79,"Diameter",2,"ID1","Canary","Canary_ID1_805_Lines.csv"
841.54,"Diameter",3,"ID1","Canary","Canary_ID1_805_Lines.csv"
685.96,"Diameter",3,"ID1","Canary","Canary_ID1_805_Lines.csv"
926.59,"Diameter",4,"ID1","Canary","Canary_ID1_805_Lines.csv"
689.33,"Diameter",4,"ID1","Canary","Canary_ID1_805_Lines.csv"
848.24,"Diameter",5,"ID1","Canary","Canary_ID1_805_Lines.csv"
643.51,"Diameter",5,"ID1","Canary","Canary_ID1_805_Lines.csv"
1078.6,"Diameter",6,"ID1","Canary","Canary_ID1_805_Lines.csv"
601.17,"Diameter",6,"ID1","Canary","Canary_ID1_805_Lines.csv"
941.49,"Diameter",7,"ID1","Canary","Canary_ID1_805_Lines.csv"
652.69,"Diameter",7,"ID1","Canary","Canary_ID1_805_Lines.csv"
818.21,"Diameter",8,"ID1","Canary","Canary_ID1_805_Lines.csv"
726.2,"Diameter",8,"ID1","Canary","Canary_ID1_805_Lines.csv"
723.32,"Diameter",9,"ID1","Canary","Canary_ID1_805_Lines.csv"
904.37,"Diameter",9,"ID1","Canary","Canary_ID1_805_Lines.csv"
1002.69,"Diameter",10,"ID1","Canary","Canary_ID1_805_Lines.csv"
662.11,"Diameter",10,"ID1","Canary","Canary_ID1_805_Lines.csv"
768.02,"Diameter",11,"ID1","Canary","Canary_ID1_805_Lines.csv"
772.77,"Diameter",11,"ID1","Canary","Canary_ID1_805_Lines.csv"
861.69,"Diameter",12,"ID1","Canary","Canary_ID1_805_Lines.csv"
602.69,"Diameter",12,"ID1","Canary","Canary_ID1_805_Lines.csv"
929.74,"Diameter",13,"ID1","Canary","Canary_ID1_805_Lines.csv"
578.47,"Diameter",13,"ID1","Canary","Canary_ID1_805_Lines.csv"
727.62,"Diameter",1,"ID2","Canary","Canary_ID2_818_Lines.csv"
678.52,"Diameter",1,"ID2","Canary","Canary_ID2_818_Lines.csv"
906.61,"Diameter",2,"ID2","Canary","Canary_ID2_818_Lines.csv"
705.21,"Diameter",2,"ID2","Canary","Canary_ID2_818_Lines.csv"
768.08,"Diameter",3,"ID2","Canary","Canary_ID2_818_Lines.csv"
829.53,"Diameter",3,"ID2","Canary","Canary_ID2_818_Lines.csv"
1122.85,"Diameter",4,"ID2","Canary","Canary_ID2_818_Lines.csv"
725.13,"Diameter",4,"ID2","Canary","Canary_ID2_818_Lines.csv"
780.83,"Diameter",5,"ID2","Canary","Canary_ID2_818_Lines.csv"
690.33,"Diameter",5,"ID2","Canary","Canary_ID2_818_Lines.csv"
932.54,"Diameter",6,"ID2","Canary","Canary_ID2_818_Lines.csv"
679.24,"Diameter",6,"ID2","Canary","Canary_ID2_818_Lines.csv"
1332.98,"Diameter",7,"ID2","Canary","Canary_ID2_818_Lines.csv"
589.42,"Diameter",7,"ID2","Canary","Canary_ID2_818_Lines.csv"
812.76,"Diameter",8,"ID2","Canary","Canary_ID2_818_Lines.csv"
652.32,"Diameter",8,"ID2","Canary","Canary_ID2_818_Lines.csv"
1047.66,"Diameter",9,"ID2","Canary","Canary_ID2_818_Lines.csv"
668.16,"Diameter",9,"ID2","Canary","Canary_ID2_818_Lines.csv"
1274.59,"Diameter",10,"ID2","Canary","Canary_ID2_818_Lines.csv"
742.76,"Diameter",10,"ID2","Canary","Canary_ID2_818_Lines.csv"
1072.08,"Diameter",11,"ID2","Canary","Canary_ID2_818_Lines.csv"
724.4,"Diameter",11,"ID2","Canary","Canary_ID2_818_Lines.csv"
754.73,"Diameter",12,"ID2","Canary","Canary_ID2_818_Lines.csv"
717.73,"Diameter",12,"ID2","Canary","Canary_ID2_818_Lines.csv"
1121.33,"Diameter",13,"ID2","Canary","Canary_ID2_818_Lines.csv"
753.55,"Diameter",13,"ID2","Canary","Canary_ID2_818_Lines.csv"
763.86,"Diameter",1,"ID3","Canary","Canary_ID3_807_Lines.csv"
910.8,"Diameter",1,"ID3","Canary","Canary_ID3_807_Lines.csv"
846.8,"Diameter",2,"ID3","Canary","Canary_ID3_807_Lines.csv"
840.16,"Diameter",2,"ID3","Canary","Canary_ID3_807_Lines.csv"
868.27,"Diameter",3,"ID3","Canary","Canary_ID3_807_Lines.csv"
760.14,"Diameter",3,"ID3","Canary","Canary_ID3_807_Lines.csv"
872.47,"Diameter",4,"ID3","Canary","Canary_ID3_807_Lines.csv"
750.46,"Diameter",4,"ID3","Canary","Canary_ID3_807_Lines.csv"
1217.36,"Diameter",5,"ID3","Canary","Canary_ID3_807_Lines.csv"
820.64,"Diameter",5,"ID3","Canary","Canary_ID3_807_Lines.csv"
935.98,"Diameter",6,"ID3","Canary","Canary_ID3_807_Lines.csv"
952.74,"Diameter",6,"ID3","Canary","Canary_ID3_807_Lines.csv"
826.36,"Diameter",7,"ID3","Canary","Canary_ID3_807_Lines.csv"
590.82,"Diameter",7,"ID3","Canary","Canary_ID3_807_Lines.csv"
1010.9,"Diameter",8,"ID3","Canary","Canary_ID3_807_Lines.csv"
880.11,"Diameter",8,"ID3","Canary","Canary_ID3_807_Lines.csv"
914.9,"Diameter",9,"ID3","Canary","Canary_ID3_807_Lines.csv"
716.73,"Diameter",9,"ID3","Canary","Canary_ID3_807_Lines.csv"
1109.54,"Diameter",10,"ID3","Canary","Canary_ID3_807_Lines.csv"
798.59,"Diameter",10,"ID3","Canary","Canary_ID3_807_Lines.csv"
1324.88,"Diameter",11,"ID3","Canary","Canary_ID3_807_Lines.csv"
787.84,"Diameter",11,"ID3","Canary","Canary_ID3_807_Lines.csv"
