# Type: Lines
# Measurement: 16
# Cat: Acinonyx jubatus
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,421.21
Line 2,399.62
Line 3,146.94
Line 4,146.37
Line 5,160.66
Line 6,159.00
Line 7,446.16
Line 8,350.64
Line 9,159.07
Line 10,136.87
Line 11,151.28
Line 12,178.81
Line 13,411.32
Line 14,316.19
Line 15,144.49
Line 16,145.68
Line 17,123.35
Line 18,135.05
Line 19,401.01
Line 20,299.31
Line 21,151.33
Line 22,157.09
Line 23,119.21
Line 24,139.73
Line 25,395.40
Line 26,296.43
Line 27,137.76
Line 28,122.23
Line 29,139.58
Line 30,135.89
Line 31,390.84
Line 32,398.89
Line 33,140.91
Line 34,150.42
Line 35,146.79
Line 36,140.09
Line 37,434.73
Line 38,391.59
Line 39,135.60
Line 40,151.02
Line 41,134.21
Line 42,146.45
Line 43,473.52
Line 44,424.41
Line 45,141.89
Line 46,147.22
Line 47,165.89
Line 48,168.16
Line 49,457.16
Line 50,357.38
Line 51,130.76
Line 52,142.71
Line 53,157.53
Line 54,133.80
Line 55,387.36
Line 56,320.69
Line 57,134.64
Line 58,157.50
Line 59,142.80
Line 60,136.97
Line 61,407.88
Line 62,335.16
Line 63,139.43
Line 64,136.04
Line 65,136.09
Line 66,147.29
Line 67,454.61
Line 68,332.88
Line 69,139.36
Line 70,142.32
Line 71,140.86
Line 72,182.84
