# Type: Lines
# Measurement: 13
# Cat: Acinonyx jubatus
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,516.59
Line 2,336.60
Line 3,172.64
Line 4,156.95
Line 5,148.05
Line 6,172.28
Line 7,432.54
Line 8,292.34
Line 9,178.30
Line 10,128.05
Line 11,130.59
Line 12,149.56
Line 13,471.56
Line 14,280.30
Line 15,181.13
Line 16,146.20
Line 17,179.98
Line 18,158.58
Line 19,401.69
Line 20,337.15
Line 21,149.79
Line 22,155.22
Line 23,143.89
Line 24,167.65
Line 25,459.45
Line 26,292.59
Line 27,144.86
Line 28,129.56
Line 29,148.61
Line 30,160.05
Line 31,426.94
Line 32,352.39
Line 33,141.31
Line 34,135.39
Line 35,125.95
Line 36,153.64
Line 37,480.17
Line 38,346.86
Line 39,118.03
Line 40,148.78
Line 41,145.96
Line 42,153.09
Line 43,338.72
Line 44,464.05
Line 45,148.60
Line 46,128.06
Line 47,157.20
Line 48,127.07
Line 49,331.93
Line 50,333.82
Line 51,136.43
Line 52,143.58
Line 53,137.90
Line 54,140.66
Line 55,419.09
Line 56,340.54
Line 57,164.94
Line 58,140.30
Line 59,191.12
Line 60,142.93
Line 61,464.11
Line 62,327.39
Line 63,169.41
Line 64,132.80
Line 65,145.73
Line 66,150.04
Line 67,380.67
Line 68,264.51
Line 69,134.43
Line 70,103.72
Line 71,116.94
Line 72,120.96
Line 73,400.11
Line 74,304.89
Line 75,126.71
Line 76,141.62
Line 77,124.64
Line 78,144.12
