# Type: Polygons
# Measurement: 13
# Cat: Acinonyx jubatus
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,126444.16,1332.43
Polygon 2,5060.79,364.13
Polygon 3,100548.06,1166.50
Polygon 4,2438.99,219.22
Polygon 5,105222.07,1239.08
Polygon 6,1467.68,196.14
Polygon 7,91001.65,1130.30
Polygon 8,1456.78,201.25
Polygon 9,109623.36,1254.16
Polygon 10,4789.39,332.40
Polygon 11,108616.77,1207.48
Polygon 12,5505.86,324.90
Polygon 13,113691.73,1260.54
Polygon 14,3850.19,346.46
Polygon 15,105024.92,1216.14
Polygon 16,2129.83,240.73
Polygon 17,86846.87,1055.33
Polygon 18,1726.42,186.96
Polygon 19,111370.80,1205.20
Polygon 20,2767.05,236.63
Polygon 21,118194.18,1263.38
Polygon 22,6281.29,355.63
Polygon 23,76226.15,1015.22
Polygon 24,2672.74,269.00
Polygon 25,101954.56,1194.38
Polygon 26,2687.68,384.18
