# Type: Lines
# Measurement: 
# Cat: Felis silvestris
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,143.47
Line 2,204.57
Line 3,66.01
Line 4,80.21
Line 5,57.99
Line 6,57.08
Line 7,221.44
Line 8,121.72
Line 9,73.77
Line 10,42.65
Line 11,35.15
Line 12,48.26
Line 13,197.83
Line 14,126.06
Line 15,72.22
Line 16,62.58
Line 17,58.07
Line 18,53.30
Line 19,173.13
Line 20,141.79
Line 21,74.93
Line 22,53.89
Line 23,45.11
Line 24,57.78
Line 25,190.29
Line 26,160.80
Line 27,56.65
Line 28,77.18
Line 29,46.23
Line 30,69.46
Line 31,247.28
Line 32,170.62
Line 33,76.43
Line 34,68.74
Line 35,71.79
Line 36,75.04
Line 37,198.36
Line 38,195.76
Line 39,50.37
Line 40,59.20
Line 41,62.96
Line 42,88.53
Line 43,165.02
Line 44,155.07
Line 45,50.07
Line 46,50.43
Line 47,36.34
Line 48,33.19
Line 49,174.54
Line 50,132.57
Line 51,59.58
Line 52,44.30
Line 53,43.96
Line 54,41.37
Line 55,265.03
Line 56,157.26
Line 57,76.83
Line 58,63.33
Line 59,88.31
Line 60,73.09
Line 61,220.68
Line 62,182.58
Line 63,71.06
Line 64,58.53
Line 65,67.38
Line 66,62.28
Line 67,144.11
Line 68,108.51
Line 69,39.94
Line 70,43.29
Line 71,35.15
Line 72,41.49
Line 73,183.26
Line 74,141.98
Line 75,72.19
Line 76,57.65
Line 77,61.18
Line 78,65.40
Line 79,328.48
Line 80,177.40
Line 81,77.63
Line 82,61.07
Line 83,71.36
Line 84,100.30
Line 85,173.53
Line 86,136.09
Line 87,44.08
Line 88,48.83
Line 89,78.31
Line 90,45.19
Line 91,223.52
Line 92,144.26
Line 93,51.16
Line 94,66.76
Line 95,112.62
Line 96,66.74
Line 97,235.87
Line 98,138.61
Line 99,55.90
Line 100,51.35
Line 101,86.66
Line 102,79.30
Line 103,204.89
Line 104,152.16
Line 105,61.48
Line 106,62.71
Line 107,76.38
Line 108,61.09
Line 109,145.16
Line 110,114.92
Line 111,52.30
Line 112,42.07
Line 113,45.67
Line 114,47.38
Line 115,187.97
Line 116,110.67
Line 117,41.79
Line 118,55.12
Line 119,56.03
Line 120,70.29
Line 121,234.12
Line 122,146.70
Line 123,95.79
Line 124,72.70
Line 125,79.11
Line 126,58.89
Line 127,189.23
Line 128,174.55
Line 129,70.20
Line 130,72.35
Line 131,80.80
Line 132,64.78
Line 133,192.72
Line 134,148.78
Line 135,52.43
Line 136,73.25
Line 137,74.53
Line 138,61.13
Line 139,285.22
Line 140,170.53
Line 141,66.95
Line 142,84.98
Line 143,55.19
Line 144,80.73
Line 145,201.11
Line 146,152.45
Line 147,53.22
Line 148,70.77
Line 149,51.51
Line 150,78.64
Line 151,183.35
Line 152,137.86
Line 153,50.98
Line 154,73.27
Line 155,73.79
Line 156,47.48
Line 157,171.66
Line 158,132.13
Line 159,46.30
Line 160,55.42
Line 161,54.81
Line 162,52.63
Line 163,234.67
Line 164,172.37
Line 165,75.71
Line 166,93.39
Line 167,74.62
Line 168,88.36
Line 169,233.11
Line 170,151.14
Line 171,93.27
Line 172,65.58
Line 173,99.33
Line 174,83.92
Line 175,196.31
Line 176,148.87
Line 177,76.41
Line 178,61.01
Line 179,57.30
Line 180,68.08
Line 181,276.93
Line 182,145.08
Line 183,102.32
Line 184,54.88
Line 185,108.80
Line 186,60.21
Line 187,209.73
Line 188,128.52
Line 189,56.36
Line 190,75.40
Line 191,57.95
Line 192,65.27
Line 193,182.78
Line 194,119.55
Line 195,89.26
Line 196,80.51
Line 197,52.82
Line 198,41.39
Line 199,179.03
Line 200,141.02
Line 201,48.36
Line 202,41.33
Line 203,76.19
Line 204,56.32
Line 205,233.98
Line 206,163.26
Line 207,91.04
Line 208,55.49
Line 209,53.78
Line 210,68.03
Line 211,158.89
Line 212,145.59
Line 213,59.57
Line 214,64.59
Line 215,52.02
Line 216,53.75
Line 217,153.79
Line 218,139.27
Line 219,45.86
Line 220,50.47
Line 221,51.63
Line 222,45.84
Line 223,132.97
Line 224,137.33
Line 225,45.50
Line 226,40.36
Line 227,40.82
Line 228,49.01
Line 229,152.44
Line 230,132.41
Line 231,47.17
Line 232,56.30
Line 233,60.24
Line 234,48.47
Line 235,153.96
Line 236,117.74
Line 237,46.81
Line 238,42.34
Line 239,64.97
Line 240,50.73
Line 241,163.04
Line 242,148.03
Line 243,38.62
Line 244,63.80
Line 245,49.99
Line 246,50.71
Line 247,205.46
Line 248,122.21
Line 249,61.56
Line 250,43.05
Line 251,46.75
Line 252,49.95
Line 253,200.83
Line 254,171.22
Line 255,82.23
Line 256,55.44
Line 257,63.96
Line 258,50.50
Line 259,221.37
Line 260,150.08
Line 261,52.00
Line 262,53.21
Line 263,53.60
Line 264,41.31
Line 265,178.06
Line 266,165.22
Line 267,35.79
Line 268,68.62
Line 269,58.02
Line 270,60.70
Line 271,154.37
Line 272,159.45
Line 273,43.09
Line 274,59.30
Line 275,54.04
Line 276,37.07
Line 277,156.76
Line 278,147.64
Line 279,63.83
Line 280,52.64
Line 281,53.51
Line 282,45.81
Line 283,159.48
Line 284,135.83
Line 285,46.11
Line 286,46.10
Line 287,59.52
Line 288,64.40
Line 289,169.95
Line 290,136.31
Line 291,54.09
Line 292,48.56
Line 293,41.31
Line 294,42.77
Line 295,191.96
Line 296,147.35
Line 297,38.98
Line 298,40.73
Line 299,66.31
Line 300,35.96
