# Type: Polygons
# Measurement: 
# Cat: Felis silvestris
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,22895.71,556.94
Polygon 2,20971.74,552.48
Polygon 3,19933.56,526.54
Polygon 4,18467.22,490.14
Polygon 5,24820.20,562.48
Polygon 6,35831.74,690.14
Polygon 7,29103.01,615.54
Polygon 8,18405.05,487.98
Polygon 9,20171.80,513.03
Polygon 10,31218.66,664.74
Polygon 11,29733.37,624.28
Polygon 12,12181.33,399.52
Polygon 13,21697.77,533.92
Polygon 14,41354.56,799.56
Polygon 15,19165.31,503.83
Polygon 16,25619.36,610.38
Polygon 17,26228.16,609.21
Polygon 18,22081.43,544.81
Polygon 19,12627.96,405.10
Polygon 20,14957.42,469.16
Polygon 21,25147.05,599.05
Polygon 22,25190.87,570.70
Polygon 23,20859.12,529.49
Polygon 24,39548.82,749.97
Polygon 25,25058.03,571.47
Polygon 26,21233.64,543.46
Polygon 27,17310.22,487.75
Polygon 28,34270.78,674.34
Polygon 29,27416.59,618.96
Polygon 30,22389.12,542.15
Polygon 31,31485.88,692.40
Polygon 32,21367.61,554.82
Polygon 33,18485.30,508.62
Polygon 34,20487.45,519.94
Polygon 35,27991.70,618.79
Polygon 36,18514.74,489.81
Polygon 37,16020.27,451.47
Polygon 38,13300.95,412.62
Polygon 39,15654.15,450.09
Polygon 40,14278.54,434.06
Polygon 41,16695.12,465.15
Polygon 42,19077.65,519.66
Polygon 43,23345.54,564.17
Polygon 44,23060.02,572.17
Polygon 45,19781.05,515.04
Polygon 46,18458.12,485.27
Polygon 47,17529.12,481.74
Polygon 48,17661.76,479.33
Polygon 49,17528.31,488.84
Polygon 50,21776.72,527.79
Polygon 51,976.96,176.95
Polygon 52,1654.40,238.31
Polygon 53,827.87,135.37
Polygon 54,1167.24,167.65
Polygon 55,1559.09,188.46
Polygon 56,2245.91,227.21
Polygon 57,2374.31,191.50
Polygon 58,3528.56,230.57
Polygon 59,2760.18,215.22
Polygon 60,2423.48,210.82
Polygon 61,2431.62,222.54
Polygon 62,1144.86,149.65
Polygon 63,1203.73,177.51
Polygon 64,4754.09,326.63
Polygon 65,2006.74,198.26
Polygon 66,1946.85,185.56
Polygon 67,2225.29,172.13
Polygon 68,2037.09,182.17
Polygon 69,1188.30,147.74
Polygon 70,1120.10,163.61
Polygon 71,1284.73,159.56
Polygon 72,2199.72,203.49
Polygon 73,1425.09,159.19
Polygon 74,5197.83,357.90
Polygon 75,2699.09,186.16
Polygon 76,2304.65,186.97
Polygon 77,2369.14,195.51
Polygon 78,2820.25,193.68
Polygon 79,2210.15,193.60
Polygon 80,1824.89,212.99
Polygon 81,3834.83,261.97
Polygon 82,1867.48,158.89
Polygon 83,1637.17,161.97
Polygon 84,2349.43,334.29
Polygon 85,2406.01,359.09
Polygon 86,974.82,212.97
Polygon 87,1340.37,191.93
Polygon 88,805.29,151.36
Polygon 89,735.90,143.30
Polygon 90,1058.03,180.74
Polygon 91,1652.60,221.90
Polygon 92,1128.51,281.40
Polygon 93,1281.14,212.94
Polygon 94,1909.06,199.46
Polygon 95,1789.47,149.69
Polygon 96,1895.38,221.88
Polygon 97,1289.05,160.83
Polygon 98,1395.95,143.76
Polygon 99,1826.20,247.93
Polygon 100,2730.89,315.44
