# Type: Lines
# Measurement: Unknown
# Cat: Leopardus pardalis
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,218.51
Line 2,217.54
Line 3,68.63
Line 4,70.79
Line 5,72.45
Line 6,65.36
Line 7,254.01
Line 8,187.49
Line 9,69.15
Line 10,66.59
Line 11,86.53
Line 12,79.88
Line 13,214.48
Line 14,210.53
Line 15,64.84
Line 16,97.22
Line 17,77.61
Line 18,76.39
Line 19,296.97
Line 20,218.27
Line 21,72.07
Line 22,64.53
Line 23,85.54
Line 24,70.47
Line 25,295.34
Line 26,253.56
Line 27,83.72
Line 28,82.25
Line 29,60.11
Line 30,68.29
Line 31,228.59
Line 32,219.99
Line 33,87.49
Line 34,93.15
Line 35,79.30
Line 36,77.16
Line 37,281.20
Line 38,176.79
Line 39,78.60
Line 40,55.94
Line 41,75.38
Line 42,83.56
Line 43,307.34
Line 44,234.10
Line 45,55.70
Line 46,65.51
Line 47,58.80
Line 48,95.99
Line 49,247.51
Line 50,165.13
Line 51,68.97
Line 52,97.35
Line 53,60.39
Line 54,71.56
Line 55,312.53
Line 56,235.99
Line 57,82.09
Line 58,69.35
Line 59,65.37
Line 60,98.51
Line 61,272.38
Line 62,219.15
Line 63,97.06
Line 64,64.15
Line 65,68.12
Line 66,83.50
Line 67,261.10
Line 68,221.21
Line 69,71.43
Line 70,60.01
Line 71,77.80
Line 72,81.11
Line 73,234.56
Line 74,220.16
Line 75,42.64
Line 76,71.16
Line 77,55.97
Line 78,79.02
Line 79,246.12
Line 80,228.64
Line 81,78.89
Line 82,105.37
Line 83,95.31
Line 84,91.71
Line 85,311.57
Line 86,206.62
Line 87,94.42
Line 88,127.29
Line 89,107.23
Line 90,100.16
Line 91,268.77
Line 92,225.55
Line 93,65.88
Line 94,74.21
Line 95,40.93
Line 96,49.92
Line 97,382.67
Line 98,203.58
Line 99,86.81
Line 100,48.05
Line 101,65.33
Line 102,91.48
Line 103,216.23
Line 104,208.74
Line 105,86.41
Line 106,95.86
Line 107,73.50
Line 108,98.14
Line 109,243.19
Line 110,192.17
Line 111,89.09
Line 112,64.43
Line 113,111.43
Line 114,84.78
Line 115,404.11
Line 116,170.00
Line 117,58.65
Line 118,52.85
Line 119,93.28
Line 120,152.57
Line 121,310.74
Line 122,244.71
Line 123,106.08
Line 124,110.78
Line 125,96.58
Line 126,89.43
Line 127,285.01
Line 128,196.72
Line 129,49.91
Line 130,60.01
Line 131,53.51
Line 132,84.12
Line 133,244.91
Line 134,294.07
Line 135,112.71
Line 136,94.90
Line 137,88.80
Line 138,140.89
Line 139,299.36
Line 140,149.88
Line 142,55.95
Line 143,92.91
Line 144,48.28
Line 144,93.24
