# Type: Polygons
# Measurement: Unknown
# Cat: Leopardus pardalis
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,37531.64,710.06
Polygon 2,38626.22,718.89
Polygon 3,32773.84,666.12
Polygon 4,48199.61,801.69
Polygon 5,51633.52,827.39
Polygon 6,36048.14,687.04
Polygon 7,34521.97,718.82
Polygon 8,44026.77,799.54
Polygon 9,29793.59,637.09
Polygon 10,53351.40,850.91
Polygon 11,37790.62,724.89
Polygon 12,39865.31,742.44
Polygon 13,31532.49,672.16
Polygon 14,40467.91,735.76
Polygon 15,49319.35,857.89
Polygon 16,46866.91,797.03
Polygon 17,63357.06,981.84
Polygon 18,35153.81,672.90
Polygon 19,38965.98,772.85
Polygon 20,55949.31,964.54
Polygon 21,53483.62,840.64
Polygon 22,43976.89,767.56
Polygon 23,53102.15,835.77
Polygon 24,40197.62,810.10
Polygon 25,5547.98,295.83
Polygon 26,2328.00,199.40
Polygon 27,2595.30,185.70
Polygon 28,5700.29,279.30
Polygon 29,7847.08,345.62
Polygon 30,1553.36,179.40
Polygon 31,4572.44,286.52
Polygon 32,4972.87,256.53
Polygon 33,752.93,119.34
Polygon 34,6943.55,321.52
Polygon 35,2492.08,226.65
Polygon 36,2543.73,212.05
Polygon 37,2847.30,239.10
Polygon 38,1030.22,134.34
Polygon 39,1091.53,146.92
Polygon 40,7244.18,318.62
Polygon 41,6013.34,405.18
Polygon 42,943.80,133.32
Polygon 43,2187.97,192.38
Polygon 44,6205.38,342.09
Polygon 45,850.53,152.53
Polygon 46,2560.70,253.64
Polygon 47,1137.25,153.92
Polygon 48,2892.14,308.33
