# Type: Lines
# Measurement: 805
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,758.02
Line 2,669.94
Line 3,114.63
Line 4,95.36
Line 5,86.30
Line 6,97.24
Line 7,781.48
Line 8,627.79
Line 9,87.53
Line 10,79.84
Line 11,99.82
Line 12,110.86
Line 13,841.54
Line 14,685.96
Line 15,92.18
Line 16,96.52
Line 17,81.16
Line 18,84.85
Line 19,926.59
Line 20,689.33
Line 21,107.55
Line 22,89.23
Line 23,123.22
Line 24,94.30
Line 25,848.24
Line 26,643.51
Line 27,122.93
Line 28,101.79
Line 29,79.31
Line 30,120.87
Line 31,1078.60
Line 32,601.17
Line 33,123.70
Line 34,107.30
Line 35,185.38
Line 36,112.94
Line 37,941.49
Line 38,652.69
Line 39,91.08
Line 40,100.33
Line 41,101.32
Line 42,80.63
Line 43,818.21
Line 44,726.20
Line 45,70.04
Line 46,87.01
Line 47,106.85
Line 48,115.29
Line 49,723.32
Line 50,904.37
Line 51,103.65
Line 52,113.76
Line 53,93.52
Line 54,111.60
Line 55,1002.69
Line 56,662.11
Line 57,105.51
Line 58,115.37
Line 59,109.79
Line 60,125.82
Line 61,768.02
Line 62,772.77
Line 63,63.53
Line 64,134.28
Line 65,106.15
Line 66,85.22
Line 67,861.69
Line 68,602.69
Line 69,66.50
Line 70,101.36
Line 71,77.01
Line 72,100.61
Line 73,929.74
Line 74,578.47
Line 75,113.33
Line 76,89.46
Line 77,91.65
Line 78,121.23

