# Type: Polygons
# Measurement: 805
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,420313.64,2370.45
Polygon 2,218494.82,1709.58
Polygon 3,374538.99,2245.10
Polygon 4,185678.38,1604.65
Polygon 5,430409.71,2407.32
Polygon 6,230861.11,1758.20
Polygon 7,407947.26,2447.62
Polygon 8,191987.66,1724.18
Polygon 9,396058.42,2373.89
Polygon 10,179179.00,1647.11
Polygon 11,496417.97,2691.41
Polygon 12,199400.44,1740.58
Polygon 13,454204.81,2490.92
Polygon 14,242738.17,1884.52
Polygon 15,416685.23,2326.05
Polygon 16,215944.17,1696.32
Polygon 17,500773.83,2695.60
Polygon 18,256557.01,1914.65
Polygon 19,508494.35,2702.19
Polygon 20,240957.59,2009.84
Polygon 21,436758.65,2508.14
Polygon 22,236714.08,1812.57
Polygon 23,373432.10,2354.37
Polygon 24,191104.46,1694.73
Polygon 25,422984.84,2500.53
Polygon 26,222410.11,1829.38
