# Type: Polygones
# Measurement: 817
# Cat: Lynx lynx
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,808374.34,3528.84
Polygon 2,294659.65,2380.67
Polygon 3,565342.77,2912.70
Polygon 4,241651.96,1966.55
Polygon 5,552058.77,2770.47
Polygon 6,275928.80,1926.27
Polygon 7,455748.17,2791.02
Polygon 8,192212.02,1899.78
Polygon 9,552504.61,2793.28
Polygon 10,269433.58,1974.76
Polygon 11,689282.93,3337.18
Polygon 12,298496.97,2301.22
Polygon 13,330579.54,2099.57
Polygon 14,149434.15,1435.03
Polygon 15,339099.88,2234.32
Polygon 16,155904.75,1539.45
Polygon 17,539202.81,2799.81
Polygon 18,270917.18,1993.38
Polygon 19,599808.34,2941.48
Polygon 20,339430.36,2289.06
Polygon 21,657111.54,3259.24
Polygon 22,339773.18,2502.72
