# Type: Lines
# Measurement: 717
# Cat: Pardofelis marmorata
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,596.96
Line 2,389.88
Line 3,160.91
Line 4,146.75
Line 5,248.84
Line 6,178.99
Line 7,428.08
Line 8,285.56
Line 9,119.95
Line 10,114.27
Line 11,115.52
Line 12,115.78
Line 13,380.73
Line 14,297.84
Line 15,130.24
Line 16,130.40
Line 17,109.72
Line 18,154.75
Line 19,446.21
Line 20,300.10
Line 21,131.29
Line 22,118.14
Line 23,205.20
Line 24,152.69
Line 25,354.29
Line 26,248.16
Line 27,105.10
Line 28,116.34
Line 29,109.63
Line 30,104.94
Line 31,424.71
Line 32,314.20
Line 33,118.19
Line 34,142.09
Line 35,118.39
Line 36,128.71
Line 37,473.22
Line 38,292.92
Line 39,154.17
Line 40,103.06
Line 41,199.07
Line 42,83.81
Line 43,617.84
Line 44,355.14
Line 45,144.58
Line 46,167.60
Line 47,151.28
Line 48,188.49
Line 49,501.49
Line 50,269.46
Line 51,203.77
Line 52,133.31
Line 53,128.03
Line 54,139.73
Line 55,384.97
Line 56,138.74
Line 57,128.29
Line 58,117.54
Line 59,101.98
Line 60,162.78
Line 61,482.80
Line 62,297.88
Line 63,208.68
Line 64,146.77
Line 65,121.50
Line 66,98.98
Line 67,364.98
Line 68,326.25
Line 69,152.98
Line 70,165.65
Line 71,129.09
Line 72,138.23
