# Type: Lines
# Measurement: 5
# Cat: Puma concolor
# Staining: PAS
# Section Thickness: 5um
#
Name,Length [um]
Line 1,424.79
Line 2,322.92
Line 3,147.64
Line 4,123.49
Line 5,152.05
Line 6,146.68
Line 7,377.03
Line 8,239.87
Line 9,118.57
Line 10,140.13
Line 11,123.01
Line 12,134.54
Line 13,389.18
Line 14,262.00
Line 15,147.00
Line 16,147.45
Line 17,125.27
Line 18,119.87
Line 19,387.95
Line 20,312.69
Line 21,114.78
Line 22,138.45
Line 23,135.63
Line 24,119.87
Line 25,348.62
Line 26,261.71
Line 27,137.50
Line 28,128.92
Line 29,117.83
Line 30,108.67
Line 31,352.95
Line 32,327.46
Line 33,142.60
Line 34,153.73
Line 35,123.00
Line 36,144.35
Line 37,328.86
Line 38,396.99
Line 39,175.15
Line 40,133.34
Line 41,133.81
Line 42,128.22
Line 43,351.05
Line 44,210.30
Line 45,139.74
Line 46,113.85
Line 47,124.86
Line 48,120.91
Line 49,415.83
Line 50,198.45
Line 51,144.73
Line 52,106.36
Line 53,114.93
Line 54,128.01
Line 55,428.40
Line 56,287.70
Line 57,198.22
Line 58,140.02
Line 59,115.28
Line 60,139.79
Line 61,355.66
Line 62,291.02
Line 63,133.91
Line 64,335.18
Line 65,169.85
Line 66,143.24
Line 67,427.69
Line 68,284.69
Line 69,127.80
Line 70,145.26
Line 71,118.32
Line 72,110.09
