# Type: Polygons
# Measurement: 5
# Cat: Puma concolor
# Staining: PAS
# Section Thickness: 5um
#
Name,Area [um],Perimeter [um]
Polygon 1,103724.89,1176.71
Polygon 2,4289.78,321.19
Polygon 3,86278.51,1145.51
Polygon 4,3478.98,341.51
Polygon 5,78858.81,1037.48
Polygon 6,834.59,162.86
Polygon 7,92745.95,1103.04
Polygon 8,3358.42,262.41
Polygon 9,70395.48,979.67
Polygon 10,704.86,154.67
Polygon 11,88470.63,1086.91
Polygon 12,1364.17,236.40
Polygon 13,101607.11,1146.09
Polygon 14,1564.55,255.23
Polygon 15,62025.26,949.17
Polygon 16,1544.51,249.07
Polygon 17,68815.50,1046.59
Polygon 18,1564.96,265.49
Polygon 19,113159.38,1272.71
Polygon 20,2467.99,372.93
Polygon 21,85177.83,1074.97
Polygon 22,1399.16,217.17
Polygon 23,96459.42,1154.86
Polygon 24,1776.44,320.62
