"","Well","Cycle","Target Name","Rn","dRn","Treatment","Duration","Replicate","Reporter","Quencher"
"1","A2",1,"RPL3_e9e10",1.1434,-0.0089,"DMSO",0,2,"SYBR","None"
"2","A2",2,"RPL3_e9e10",1.1593,-5e-04,"DMSO",0,2,"SYBR","None"
"3","A2",3,"RPL3_e9e10",1.1657,-0.0015,"DMSO",0,2,"SYBR","None"
"4","A2",4,"RPL3_e9e10",1.1788,0.0042,"DMSO",0,2,"SYBR","None"
"5","A2",5,"RPL3_e9e10",1.1781,-0.0039,"DMSO",0,2,"SYBR","None"
"6","A2",6,"RPL3_e9e10",1.1906,0.0012,"DMSO",0,2,"SYBR","None"
"7","A2",7,"RPL3_e9e10",1.1966,-2e-04,"DMSO",0,2,"SYBR","None"
"8","A2",8,"RPL3_e9e10",1.208,0.0038,"DMSO",0,2,"SYBR","None"
"9","A2",9,"RPL3_e9e10",1.2276,0.016,"DMSO",0,2,"SYBR","None"
"10","A2",10,"RPL3_e9e10",1.2493,0.0303,"DMSO",0,2,"SYBR","None"
"11","A2",11,"RPL3_e9e10",1.2847,0.0583,"DMSO",0,2,"SYBR","None"
"12","A2",12,"RPL3_e9e10",1.3434,0.1095,"DMSO",0,2,"SYBR","None"
"13","A2",13,"RPL3_e9e10",1.4572,0.2159,"DMSO",0,2,"SYBR","None"
"14","A2",14,"RPL3_e9e10",1.6707,0.422,"DMSO",0,2,"SYBR","None"
"15","A2",15,"RPL3_e9e10",2.0482,0.7921,"DMSO",0,2,"SYBR","None"
"16","A2",16,"RPL3_e9e10",2.6093,1.3457,"DMSO",0,2,"SYBR","None"
"17","A2",17,"RPL3_e9e10",3.2867,2.0157,"DMSO",0,2,"SYBR","None"
"18","A2",18,"RPL3_e9e10",4.0337,2.7553,"DMSO",0,2,"SYBR","None"
"19","A2",19,"RPL3_e9e10",4.8251,3.5393,"DMSO",0,2,"SYBR","None"
"20","A2",20,"RPL3_e9e10",5.6298,4.3366,"DMSO",0,2,"SYBR","None"
"21","A2",21,"RPL3_e9e10",6.4323,5.1317,"DMSO",0,2,"SYBR","None"
"22","A2",22,"RPL3_e9e10",7.2262,5.9182,"DMSO",0,2,"SYBR","None"
"23","A2",23,"RPL3_e9e10",7.9909,6.6755,"DMSO",0,2,"SYBR","None"
"24","A2",24,"RPL3_e9e10",8.6632,7.3404,"DMSO",0,2,"SYBR","None"
"25","A2",25,"RPL3_e9e10",9.277,7.9467,"DMSO",0,2,"SYBR","None"
"26","A2",26,"RPL3_e9e10",9.8814,8.5437,"DMSO",0,2,"SYBR","None"
"27","A2",27,"RPL3_e9e10",10.4651,9.12,"DMSO",0,2,"SYBR","None"
"28","A2",28,"RPL3_e9e10",10.9449,9.5924,"DMSO",0,2,"SYBR","None"
"29","A2",29,"RPL3_e9e10",11.3913,10.0314,"DMSO",0,2,"SYBR","None"
"30","A2",30,"RPL3_e9e10",11.8359,10.4686,"DMSO",0,2,"SYBR","None"
"31","A2",31,"RPL3_e9e10",12.2228,10.8481,"DMSO",0,2,"SYBR","None"
"32","A2",32,"RPL3_e9e10",12.5277,11.1456,"DMSO",0,2,"SYBR","None"
"33","A2",33,"RPL3_e9e10",12.8452,11.4556,"DMSO",0,2,"SYBR","None"
"34","A2",34,"RPL3_e9e10",13.0881,11.6912,"DMSO",0,2,"SYBR","None"
"35","A2",35,"RPL3_e9e10",13.4162,12.0118,"DMSO",0,2,"SYBR","None"
"36","A2",36,"RPL3_e9e10",13.7021,12.2903,"DMSO",0,2,"SYBR","None"
"37","A2",37,"RPL3_e9e10",13.9022,12.483,"DMSO",0,2,"SYBR","None"
"38","A2",38,"RPL3_e9e10",14.1334,12.7068,"DMSO",0,2,"SYBR","None"
