"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A1",1,"RPL3_e9e10",1.0639,-0.0021,"DMSO","0","1"
"A1",2,"RPL3_e9e10",1.0681,0.0021,"DMSO","0","1"
"A1",3,"RPL3_e9e10",1.0903,0.0243,"DMSO","0","1"
"A1",4,"RPL3_e9e10",1.1055,0.0395,"DMSO","0","1"
"A1",5,"RPL3_e9e10",1.1205,0.0545,"DMSO","0","1"
"A1",6,"RPL3_e9e10",1.1359,0.0699,"DMSO","0","1"
"A1",7,"RPL3_e9e10",1.146,0.08,"DMSO","0","1"
"A1",8,"RPL3_e9e10",1.1568,0.0908,"DMSO","0","1"
"A1",9,"RPL3_e9e10",1.1728,0.1068,"DMSO","0","1"
"A1",10,"RPL3_e9e10",1.1859,0.1199,"DMSO","0","1"
"A1",11,"RPL3_e9e10",1.2133,0.1472,"DMSO","0","1"
"A1",12,"RPL3_e9e10",1.2486,0.1825,"DMSO","0","1"
"A1",13,"RPL3_e9e10",1.3185,0.2525,"DMSO","0","1"
"A1",14,"RPL3_e9e10",1.4426,0.3766,"DMSO","0","1"
"A1",15,"RPL3_e9e10",1.6929,0.6268,"DMSO","0","1"
"A1",16,"RPL3_e9e10",2.1126,1.0465,"DMSO","0","1"
"A1",17,"RPL3_e9e10",2.7736,1.7076,"DMSO","0","1"
"A1",18,"RPL3_e9e10",3.5781,2.5121,"DMSO","0","1"
"A1",19,"RPL3_e9e10",4.4175,3.3515,"DMSO","0","1"
"A1",20,"RPL3_e9e10",5.2651,4.199,"DMSO","0","1"
"A1",21,"RPL3_e9e10",6.1019,5.0359,"DMSO","0","1"
"A1",22,"RPL3_e9e10",6.8709,5.8048,"DMSO","0","1"
"A1",23,"RPL3_e9e10",7.5664,6.5004,"DMSO","0","1"
"A1",24,"RPL3_e9e10",8.1816,7.1156,"DMSO","0","1"
"A1",25,"RPL3_e9e10",8.725,7.659,"DMSO","0","1"
"A1",26,"RPL3_e9e10",9.2319,8.1659,"DMSO","0","1"
"A1",27,"RPL3_e9e10",9.655,8.589,"DMSO","0","1"
"A1",28,"RPL3_e9e10",10.0059,8.9399,"DMSO","0","1"
"A1",29,"RPL3_e9e10",10.3378,9.2718,"DMSO","0","1"
"A1",30,"RPL3_e9e10",10.6519,9.5859,"DMSO","0","1"
"A1",31,"RPL3_e9e10",10.9365,9.8705,"DMSO","0","1"
"A1",32,"RPL3_e9e10",11.1743,10.1083,"DMSO","0","1"
"A1",33,"RPL3_e9e10",11.3835,10.3175,"DMSO","0","1"
"A1",34,"RPL3_e9e10",11.5929,10.5269,"DMSO","0","1"
"A1",35,"RPL3_e9e10",11.7712,10.7052,"DMSO","0","1"
"A1",36,"RPL3_e9e10",11.9439,10.8779,"DMSO","0","1"
"A1",37,"RPL3_e9e10",12.1615,11.0955,"DMSO","0","1"
"A1",38,"RPL3_e9e10",12.2452,11.1792,"DMSO","0","1"
"A1",39,"RPL3_e9e10",12.3706,11.3045,"DMSO","0","1"
"A1",40,"RPL3_e9e10",12.4932,11.4272,"DMSO","0","1"
"A2",1,"RPL3_e9e10",1.1434,-0.0089,"DMSO","0","2"
