#Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
#Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
#Experiment Run End Time;2017-02-17 12:25:38 PM CET;;;;;;;;;;;;;;;;;;;;;;;;
#Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
#Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Ct;Ct Mean;Ct SD;dCt;?C? Mean;?C? SE;HK Control ?C? Mean;HK Control ?C? SE;??C?;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;NOISE
A1;0h -;IL1B;UNKNOWN;SYBR;None;1;0.790634394;1.264807105;20.53862572;20.46244049;0.107743531;;5.178845406;0.078769408;;;0;WAHR;0.856284854;WAHR;3;12;1;;N
A2;0.5h -;IL1B;UNKNOWN;SYBR;None;1.315728307;;;19.74674225;19.74674225;;;4.78298378;;;;-0.395861626;WAHR;0.856284854;WAHR;3;11;1;;N
A3;1h -;IL1B;UNKNOWN;SYBR;None;1.508192062;;;19.21120453;19.21120453;;;4.586025238;;;;-0.592820168;WAHR;0.856284854;WAHR;3;11;1;;N
A4;2h -;IL1B;UNKNOWN;SYBR;None;2.633222818;;;18.95199585;18.95199585;;;3.7820158;;;;-1.396829605;WAHR;0.856284854;WAHR;3;11;1;;N
A5;3h -;IL1B;UNKNOWN;SYBR;None;4.09510994;;;18.14953041;18.14953041;;;3.144943237;;;;-2.033902168;WAHR;0.856284854;WAHR;3;10;1;;N
A6;4h -;IL1B;UNKNOWN;SYBR;None;3.203068733;;;18.72886086;18.72886086;;;3.499390602;;;;-1.679454803;WAHR;0.856284854;WAHR;3;10;1;;N
A7;5h -;IL1B;UNKNOWN;SYBR;None;3.620722055;;;18.2722435;18.2722435;;;3.32256794;;;;-1.856277466;WAHR;0.856284854;WAHR;3;10;1;;N
A8;6h -;IL1B;UNKNOWN;SYBR;None;2.72546196;;;19.28487206;19.28487206;;;3.732344627;;;;-1.446500778;WAHR;0.856284854;WAHR;3;11;1;;N
A9;7h -;IL1B;UNKNOWN;SYBR;None;1.948931932;;;20.09405518;20.09405518;;;4.216161728;;;;-0.962683678;WAHR;0.856284854;WAHR;3;12;1;;N
A10;8h -;IL1B;UNKNOWN;SYBR;None;1.665438175;;;20.01951027;20.01951027;;;4.442943573;;;;-0.735901833;WAHR;0.856284854;WAHR;3;12;1;;N
