#Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;
#Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;
#Experiment Run End Time;2017-02-17 14:03:32 PM CET;;;;;;;;;;;;;;;;;;;;;;;
#Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;
#Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Ct;Ct Mean;C? SD;?C?;?C? Mean;?C? SE;HK Control ?C? Mean;HK Control ?C? SE;??C?;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments
B4;48h -;RPL3;UNKNOWN;SYBR;None;;;;16.35127831;16.35127831;;;;;;;;WAHR;1.130878385;WAHR;3;8;1;
B5;24h -;RPL3;UNKNOWN;SYBR;None;;;;17.14419556;17.14419556;;;;;;;;WAHR;1.130878385;WAHR;3;9;1;
B8;24h +;RPL3;UNKNOWN;SYBR;None;;;;15.96327877;15.96327877;;;;;;;;WAHR;1.130878385;WAHR;3;8;1;
B9;48h +;RPL3;UNKNOWN;SYBR;None;;;;16.39635277;16.39635277;;;;;;;;WAHR;1.130878385;WAHR;3;9;1;
C4;48h -;ZNF281;UNKNOWN;SYBR;None;0.78236568;;;22.44811821;22.44811821;;;6.096839905;;;;0.354084969;WAHR;0.745553615;WAHR;3;15;1;
C5;24h -;ZNF281;UNKNOWN;SYBR;None;0.834001541;;;23.14882851;23.14882851;;;6.00463295;;;;0.261878014;WAHR;0.745553615;WAHR;3;16;1;
C8;24h +;ZNF281;UNKNOWN;SYBR;None;0.84911418;;;21.94200325;21.94200325;;;5.97872448;;;;0.235969543;WAHR;0.745553615;WAHR;3;14;1;
C9;48h +;ZNF281;UNKNOWN;SYBR;None;0.973118007;;;22.17842102;22.17842102;;;5.782068253;;;;0.039313316;WAHR;0.745553615;WAHR;3;15;1;
D4;48h -;VCL;UNKNOWN;SYBR;None;0.665868878;;;23.90096855;23.90096855;;;7.549690247;;;;0.586689949;WAHR;1.02249978;WAHR;3;16;1;
D5;24h -;VCL;UNKNOWN;SYBR;None;0.62854445;;;24.77710915;24.77710915;;;7.632913589;;;;0.669913292;WAHR;1.02249978;WAHR;3;17;1;
D8;24h +;VCL;UNKNOWN;SYBR;None;1.109206915;;;22.77675056;22.77675056;;;6.813471794;;;;-0.149528503;WAHR;1.02249978;WAHR;3;15;1;
D9;48h +;VCL;UNKNOWN;SYBR;None;1.196710467;;;23.10027885;23.10027885;;;6.703926086;;;;-0.259074211;WAHR;1.02249978;WAHR;3;16;1;
E4;48h -;CDH1;UNKNOWN;SYBR;None;0.654761732;;;28.6349659;28.6349659;;;12.28368759;;;;0.610958099;WAHR;1.200140737;WAHR;3;20;1;
E5;24h -;CDH1;UNKNOWN;SYBR;None;1.031291842;;;28.77247238;28.77247238;;;11.62827682;;;;-0.044452667;WAHR;1.200140737;WAHR;3;20;1;
E8;24h +;CDH1;UNKNOWN;SYBR;None;1.566521883;;;26.98844337;26.98844337;;;11.0251646;;;;-0.647564888;WAHR;1.200140737;WAHR;3;18;1;
E9;48h +;CDH1;UNKNOWN;SYBR;None;0.952958167;;;28.13859749;28.13859749;;;11.74224472;;;;0.069515228;WAHR;1.200140737;WAHR;3;20;1;
F4;48h -;VEGF;UNKNOWN;SYBR;None;2.517008066;;;24.92446518;24.92446518;;;8.573186874;;;;-1.331709862;WAHR;1.388702758;WAHR;3;16;1;
F5;24h -;VEGF;UNKNOWN;SYBR;None;1.714245319;;;26.27151871;26.27151871;;;9.127323151;;;;-0.777573586;WAHR;1.388702758;WAHR;3;17;1;
F8;24h +;VEGF;UNKNOWN;SYBR;None;2.521696091;;;24.53378105;24.53378105;;;8.570502281;;;;-1.334394455;WAHR;1.388702758;WAHR;3;16;1;
F9;48h +;VEGF;UNKNOWN;SYBR;None;3.520707846;;;24.48538399;24.48538399;;;8.089031219;;;;-1.815865517;WAHR;1.388702758;WAHR;3;16;1;
G4;48h -;IL6;UNKNOWN;SYBR;None;4.490226269;;;27.66679192;27.66679192;;;11.31551361;;;;-2.166788101;WAHR;0.861113451;WAHR;3;20;1;
G5;24h -;IL6;UNKNOWN;SYBR;None;4.433297634;;;28.47811699;28.47811699;;;11.33392143;;;;-2.14838028;WAHR;0.861113451;WAHR;3;21;1;
G8;24h +;IL6;UNKNOWN;SYBR;None;2.858480215;;;27.93033218;27.93033218;;;11.96705341;;;;-1.515248299;WAHR;0.861113451;WAHR;3;20;1;
G9;48h +;IL6;UNKNOWN;SYBR;None;5.116475105;;;27.52350426;27.52350426;;;11.12715149;;;;-2.355150223;WAHR;0.861113451;WAHR;3;20;1;
H4;48h -;IL1B;UNKNOWN;SYBR;None;3.38030076;;;19.46988678;19.46988678;;;3.118608475;;;;-1.757151604;WAHR;1.17341888;WAHR;3;11;1;
H5;24h -;IL1B;UNKNOWN;SYBR;None;2.709891796;;;20.58172035;20.58172035;;;3.437524796;;;;-1.438235283;WAHR;1.17341888;WAHR;3;13;1;
H8;24h +;IL1B;UNKNOWN;SYBR;None;3.749678373;;;18.93227196;18.93227196;;;2.968993187;;;;-1.906766891;WAHR;1.17341888;WAHR;3;10;1;
H9;48h +;IL1B;UNKNOWN;SYBR;None;4.163402557;;;19.21434975;19.21434975;;;2.817996979;;;;-2.0577631;WAHR;1.17341888;WAHR;3;11;1;
#;;;;;;;;;;;;;;;;;;;;;;;;
#Analysis Type;Singleplex;;;;;;;;;;;;;;;;;;;;;;;
#Endogenous Control;RPL3;;;;;;;;;;;;;;;;;;;;;;;
#RQ Min/Max Confidence Level;95;;;;;;;;;;;;;;;;;;;;;;;
#Reference Sample;0h;;;;;;;;;;;;;;;;;;;;;;;
